id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,lot1_surface_carrez,lot2_surface_carrez,lot3_surface_carrez,lot4_surface_carrez,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,day_mutation,month_mutation
2021-108350,2021-03-23,1,Vente en l'état futur d'achèvement,301000.0,201.0,,CHE DU VALLAT,1965,13400.0,Aubagne,,,13005000CM0600,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.571516,43.314866,23,3
2021-108351,2021-03-19,1,Vente,693920.0,481.0,,RUE PARADIS,6794,13008.0,Marseille 8e Arrondissement,,,132088430B0058,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.386319,43.271895,19,3
2021-108351,2021-03-19,1,Vente,693920.0,481.0,,RUE PARADIS,6794,13008.0,Marseille 8e Arrondissement,,,132088430B0058,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.386319,43.271895,19,3
2021-108351,2021-03-19,1,Vente,693920.0,481.0,,RUE PARADIS,6794,13008.0,Marseille 8e Arrondissement,,,132088430B0058,,,,,,,1,2.0,Appartement,162.0,5.0,,,,,,5.386319,43.271895,19,3
2021-108352,2021-03-25,1,Vente,126000.0,20.0,,RUE LOUIS REGE,5455,13008.0,Marseille 8e Arrondissement,,,132088420C0155,,,32.97,,,,2,2.0,Appartement,33.0,2.0,,,,,,5.390643,43.281125,25,3
2021-108352,2021-03-25,1,Vente,126000.0,20.0,,RUE LOUIS REGE,5455,13008.0,Marseille 8e Arrondissement,,,132088420C0155,,,32.97,,,,2,3.0,Dépendance,,0.0,,,,,,5.390643,43.281125,25,3
2021-108352,2021-03-25,1,Vente,126000.0,7.0,,BD JACQUAND,4627,13008.0,Marseille 8e Arrondissement,,,132088420C0155,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.390643,43.281125,25,3
2021-108353,2021-03-12,1,Vente,115000.0,83.0,,BD DU REDON,7795,13009.0,Marseille 9e Arrondissement,,,132098500D0238,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.426145,43.251494,12,3
2021-108353,2021-03-12,1,Vente,115000.0,83.0,,BD DU REDON,7795,13009.0,Marseille 9e Arrondissement,,,132098500D0238,,,,,,,2,2.0,Appartement,65.0,3.0,,,,,,5.426145,43.251494,12,3
2021-108354,2021-03-10,1,Vente en l'état futur d'achèvement,279000.0,,,CHE DU VAL DES BOIS,9282,13009.0,Marseille 9e Arrondissement,,,132098470B0032,,,,,,,1,,,,,,,,,,5.427087,43.2661,10,3
2021-108354,2021-03-10,1,Vente en l'état futur d'achèvement,279000.0,,,CHE DU VAL DES BOIS,9282,13009.0,Marseille 9e Arrondissement,,,132098470B0032,,,,,,,1,,,,,,,,,,5.427087,43.2661,10,3
2021-108355,2021-03-26,1,Vente,440000.0,384.0,,RUE PARADIS,6794,13008.0,Marseille 8e Arrondissement,,,132088390I0080,,136.71,,,,,2,3.0,Dépendance,,0.0,,,,,,5.383217,43.27748,26,3
2021-108355,2021-03-26,1,Vente,440000.0,384.0,,RUE PARADIS,6794,13008.0,Marseille 8e Arrondissement,,,132088390I0080,,136.71,,,,,2,2.0,Appartement,126.0,4.0,,,,,,5.383217,43.27748,26,3
2021-108356,2021-03-22,1,Vente,640000.0,4.0,,RUE FLORAC,3511,13008.0,Marseille 8e Arrondissement,,,132088390D0078,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,30.0,5.38633,43.278258,22,3
2021-108356,2021-03-22,1,Vente,640000.0,4.0,,RUE FLORAC,3511,13008.0,Marseille 8e Arrondissement,,,132088390D0079,,,,,,,1,2.0,Appartement,140.0,5.0,,,,,,5.386561,43.278245,22,3
2021-108357,2021-03-16,1,Vente,188000.0,9001.0,,RES CLAIR SOLEIL,A243,13400.0,Aubagne,,,13005000BI0015,,,73.44,,,,2,2.0,Appartement,74.0,3.0,,,,,,5.581912,43.300504,16,3
2021-108357,2021-03-16,1,Vente,188000.0,9001.0,,RES CLAIR SOLEIL,A243,13400.0,Aubagne,,,13005000BI0015,,,73.44,,,,2,3.0,Dépendance,,0.0,,,,,,5.581912,43.300504,16,3
2021-108357,2021-03-16,1,Vente,188000.0,9001.0,,RES CLAIR SOLEIL,A243,13400.0,Aubagne,,,13005000BI0015,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.581912,43.300504,16,3
2021-108358,2021-03-25,1,Vente,360000.0,111.0,,RUE JEAN MERMOZ,4774,13008.0,Marseille 8e Arrondissement,,,132088430B0123,,,,,,,1,2.0,Appartement,69.0,3.0,,,,,,5.388008,43.273045,25,3
2021-108359,2021-03-15,1,Vente,1.0,,,LE CHARREL,B035,13400.0,Aubagne,,,13005000AW0236,,,,,,,0,,,,,S,sols,,,24.0,5.554343,43.285738,15,3
2021-108359,2021-03-15,1,Vente,1.0,,,LE CHARREL,B035,13400.0,Aubagne,,,13005000AW0241,,,,,,,0,,,,,S,sols,,,20.0,5.554303,43.2858,15,3
2021-108359,2021-03-15,1,Vente,1.0,,,LE CHARREL,B035,13400.0,Aubagne,,,13005000AW0244,,,,,,,0,,,,,S,sols,,,20.0,5.55432,43.285767,15,3
2021-108360,2021-03-15,1,Vente,1451400.0,9001.0,,LES TERRES MARINES,A910,13260.0,Cassis,,,13022000CN0011,,158.3,,,,,1,1.0,Maison,114.0,4.0,,,,,,5.527996,43.217743,15,3
2021-108360,2021-03-15,1,Vente,1451400.0,9001.0,,LES TERRES MARINES,A910,13260.0,Cassis,,,13022000CN0011,,158.3,,,,,1,3.0,Dépendance,,0.0,,,,,,5.527996,43.217743,15,3
2021-108360,2021-03-15,1,Vente,1451400.0,9001.0,,LES TERRES MARINES,A910,13260.0,Cassis,,,13022000CN0011,,158.3,,,,,1,3.0,Dépendance,,0.0,,,,,,5.527996,43.217743,15,3
2021-108361,2021-03-29,1,Vente,351650.0,9001.0,,CHE DE LA BAUME DE MARRON,0015,13720.0,La Bouilladisse,,,13016000AC0269,,,,,,,1,1.0,Maison,75.0,3.0,,,,,,5.58572,43.396775,29,3
2021-108362,2021-03-19,1,Vente en l'état futur d'achèvement,197986.0,,,,,,Marseille 8e Arrondissement,,,132088440A0072,,,,,,,1,,,,,,,,,,5.392764,43.265292,19,3
2021-108362,2021-03-19,1,Vente en l'état futur d'achèvement,197986.0,,,,,,Marseille 8e Arrondissement,,,132088440A0072,,,,,,,1,,,,,,,,,,5.392764,43.265292,19,3
2021-108363,2021-03-23,1,Vente,13000.0,9001.0,,RES CENTRAL PARC,A220,13400.0,Aubagne,,,13005000AH0124,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.56974,43.288132,23,3
2021-108364,2021-03-02,1,Vente,270000.0,9.0,,AV CALENDAL,0240,13600.0,La Ciotat,,,13028000BC0014,,64.47,,,,,1,2.0,Appartement,60.0,3.0,,,,,,5.619743,43.192095,2,3
2021-108364,2021-03-02,1,Vente,270000.0,9.0,,AV CALENDAL,0240,13600.0,La Ciotat,,,13028000BC0014,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.619743,43.192095,2,3
2021-108365,2021-03-12,1,Vente en l'état futur d'achèvement,620000.0,44.0,,RUE CALLELONGUE,1598,13008.0,Marseille 8e Arrondissement,,,132088440L0262,,,,,,,1,,,,,,,,,,5.388586,43.257158,12,3
